business_status,name,user_ratings_total,rating,vicinity,lat,lng,types,place_id,phone_number
OPERATIONAL,Espetinho Do Dede - Ponta Negra,20.0,4.9,"Rua Alto da Boa Vista, 108 - Ponta Negra, Natal",-5.886789200000001,-35.1692633,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJRVF0TSD5sgcROJiNJYtEBRM,
OPERATIONAL,Ferreira's Bar,59.0,4.8,"Rua Vereador Manoel Coringa de Lemos, 633 - Vila de Ponta Negra, Natal",-5.885550299999999,-35.1679798,"['bar', 'point_of_interest', 'establishment']",ChIJbR-u_yj5sgcRDYtXScrQ2Do,
CLOSED_TEMPORARILY,Gata Pintada Esmalteria E Salão,1.0,5.0,"Rua da Floresta, 261B - Vila de Ponta Negra, Natal",-5.886619800000001,-35.1688159,"['night_club', 'bar', 'beauty_salon', 'point_of_interest', 'establishment']",ChIJWW5_aCj5sgcRp4gbpALat-M,
CLOSED_TEMPORARILY,Kiosque 25,1.0,5.0,"R. Erivan França, Kiosque 25 - Ponta Negra, Natal",-5.881686,-35.17121579999999,"['bar', 'point_of_interest', 'establishment']",ChIJJRZbXFn5sgcRyjE1vFbw5RU,
CLOSED_TEMPORARILY,Esquina Do Coco,,,Brazil,-5.886398900000001,-35.1725106,"['bar', 'point_of_interest', 'establishment']",ChIJ7_M3lNf4sgcR39k_Mpbo8BU,
OPERATIONAL,Posto 18 Barão,13.0,4.4,Ponta Negra,-5.881161699999999,-35.17148820000001,"['bar', 'point_of_interest', 'establishment']",ChIJs221hNX4sgcRuBFw-erC-Os,
OPERATIONAL,Camarões Beach Bar & Grill,1508.0,4.3,"Rua Erivan França, 108 - Loja 12 - Ponta Negra, Natal",-5.881248600000001,-35.17175469999999,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJoZVN2dT4sgcRVf102-_tpMk,
CLOSED_TEMPORARILY,Ponto 19,8.0,3.8,"Rua Erivan França, 108 - Vila de Ponta Negra, Natal",-5.881241999999999,-35.1717591,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJuVISm9X4sgcRERq0s-X9dmU,
OPERATIONAL,Dona Girl Bar and Kitchen,564.0,4.2,"Rua Erivan França, 108 - Vila de Ponta Negra, Natal",-5.8812019,-35.1717377,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJJ2wAm9X4sgcRVMEJ2L9C-9E,
OPERATIONAL,Espetinho tentação,1.0,5.0,"Rua Alto da Boa Vista - Vila de Ponta Negra, Natal",-5.8883546,-35.16987100000001,"['bar', 'point_of_interest', 'establishment']",ChIJe6tKlev5sgcRB1aAOtV_6NM,
OPERATIONAL,Bar Petiscaria O Tempero.,,,"Rua Silvio Barreto Filho, 4 - Ponta Negra, Natal",-5.884428499999999,-35.1744669,"['bar', 'point_of_interest', 'establishment']",ChIJn8OF79b4sgcRi0MoWRhhEv8,
CLOSED_TEMPORARILY,Barraca de Sérgio,7.0,4.1,"Rua Erivan França - Vila de Ponta Negra, Natal",-5.8801478,-35.17201,"['bar', 'point_of_interest', 'establishment']",ChIJy9GNbdX4sgcR3aosb2HfzAc,
OPERATIONAL,Blue Buddha,2.0,5.0,"Rua João Rodrigues de Oliveira, 10a - Vila de Ponta Negra, Natal",-5.884187900000001,-35.16581110000001,"['bar', 'point_of_interest', 'establishment']",ChIJkdK-vOH5sgcRp6nKISySfV4,
CLOSED_TEMPORARILY,Quiosque 8,2.0,4.5,"Rua Erivan França, 36 - Ponta Negra, Natal",-5.880066899999999,-35.1726391,"['bar', 'point_of_interest', 'establishment']",ChIJoR5bGCf5sgcR2gGX7q-rgmI,
OPERATIONAL,Minnemann Surf Bar,2.0,5.0,"Rua Erivan França, 230a - Ponta Negra, Natal",-5.8840775,-35.1653118,"['bar', 'point_of_interest', 'establishment']",ChIJS9i5VRz5sgcRyfUXLjKYmw4,
CLOSED_TEMPORARILY,Kombar BR,1.0,5.0,"Rua Poeta Jorge Fernandes, 45 - Ponta Negra, Natal",-5.881610999999999,-35.17489,"['bar', 'point_of_interest', 'establishment']",ChIJb1VxQNT4sgcRjJvTUkGR97g,
OPERATIONAL,Barraca mano a mano,3.0,3.0,"Ponta Negra, Natal",-5.8797165,-35.1729652,"['bar', 'point_of_interest', 'establishment']",ChIJL7O-T2X5sgcRmw3ww0mbsZE,
OPERATIONAL,MARKETE DRINKS,3.0,5.0,"Rua Erivan França, 1084 - Ponta Negra, Natal",-5.8797808,-35.1730957,"['bar', 'point_of_interest', 'establishment']",ChIJBUV1bNH5sgcRF7kM-uhqwxs,
CLOSED_TEMPORARILY,OLD ROCK´S BAR,1.0,5.0,"Rua Poeta Jorge Fernandes - Ponta Negra, Natal",-5.8815162,-35.1750021,"['bar', 'point_of_interest', 'establishment']",ChIJH78bmDD5sgcRX-cCdtGz1ig,
OPERATIONAL,Valentim Gastro Music Bar,45.0,4.4,"Rua Poeta Jorge Fernandes, 2100 - Vila de Ponta Negra, Natal",-5.881137299999999,-35.17482200000001,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJXXoiXNT4sgcRY45TuyScLpk,
CLOSED_TEMPORARILY,Wc Bar Ypióca,,,"Rua Manoel Congo, 226 - Vila de Ponta Negra, Natal",-5.88984,-35.16899899999999,"['bar', 'point_of_interest', 'establishment']",ChIJeb7NCSf5sgcRWRj2qhEyhQ0,
OPERATIONAL,Frutos do Mar Restaurante Ponta Negra em Natal,439.0,4.2,"Rua Poeta Jorge Fernandes, 654 - Ponta Negra, Natal",-5.8827663,-35.1760042,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJKc6Fqdb4sgcR4k4Qxq-Ihho,
